Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
Wii Sports,Wii,2006,Sports,76.0,8,E
Mario Kart Wii,Wii,2008,Racing,82.0,8.3,E
Wii Sports Resort,Wii,2009,Sports,80.0,8,E
New Super Mario Bros.,DS,2006,Platform,89.0,8.5,E
Wii Play,Wii,2006,Misc,58.0,6.6,E
New Super Mario Bros. Wii,Wii,2009,Platform,87.0,8.4,E
Mario Kart DS,DS,2005,Racing,91.0,8.6,E
Wii Fit,Wii,2007,Sports,80.0,7.7,E
Kinect Adventures!,X360,2010,Misc,61.0,6.3,E
Wii Fit Plus,Wii,2009,Sports,80.0,7.4,E
Grand Theft Auto: San Andreas,PS2,2004,Action,95.0,9,M
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,77.0,7.9,E
Grand Theft Auto: Vice City,PS2,2002,Action,95.0,8.7,M
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,77.0,7.1,E
Gran Turismo 3: A-Spec,PS2,2001,Racing,95.0,8.4,E
Call of Duty: Black Ops,X360,2010,Shooter,87.0,6.3,M
Call of Duty: Modern Warfare 2,X360,2009,Shooter,94.0,6.3,M
Grand Theft Auto III,PS2,2001,Action,97.0,8.5,M
Super Smash Bros. Brawl,Wii,2008,Fighting,93.0,8.9,T
Call of Duty: Black Ops,PS3,2010,Shooter,88.0,6.4,M
Animal Crossing: Wild World,DS,2005,Simulation,86.0,8.7,E
Halo 3,X360,2007,Shooter,94.0,7.8,M
Gran Turismo 4,PS2,2004,Racing,89.0,8.5,E
Super Mario Galaxy,Wii,2007,Platform,97.0,8.9,E
Grand Theft Auto IV,X360,2008,Action,98.0,7.9,M
Gran Turismo,PS,1997,Racing,96.0,8.7,E
Gran Turismo 5,PS3,2010,Racing,84.0,7.5,E
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,94.0,6.3,M
Grand Theft Auto IV,PS3,2008,Action,98.0,7.5,M
Halo: Reach,X360,2010,Shooter,91.0,7.9,M
Final Fantasy VII,PS,1997,Role-Playing,92.0,9.2,T
Gran Turismo 2,PS,1999,Racing,93.0,9,T
Just Dance 2,Wii,2010,Misc,74.0,7.3,E10+
Call of Duty 4: Modern Warfare,X360,2007,Shooter,94.0,8.4,M
Mario Party DS,DS,2007,Misc,72.0,7.8,E
Halo 2,XB,2004,Shooter,95.0,8.2,M
Wii Party,Wii,2010,Misc,68.0,7.4,E
Mario Party 8,Wii,2007,Misc,62.0,6.3,E
Final Fantasy X,PS2,2001,Role-Playing,92.0,8.7,T
The Sims 3,PC,2009,Simulation,86.0,7.6,T
Final Fantasy VIII,PS,1999,Role-Playing,90.0,8.6,T
Pokémon Platinum Version,DS,2008,Role-Playing,83.0,8.5,E
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,88.0,7.6,M
Super Mario Galaxy 2,Wii,2010,Platform,97.0,9.1,E
Call of Duty: World at War,X360,2008,Shooter,84.0,7.6,M
Need for Speed Underground,PS2,2003,Racing,85.0,8.6,E
Just Dance,Wii,2009,Misc,49.0,8,E10+
Tekken 3,PS,1998,Fighting,96.0,9.1,T
The Legend of Zelda: Twilight Princess,Wii,2006,Action,95.0,9,T
Crash Bandicoot 3: Warped,PS,1998,Platform,91.0,8.9,E
Super Smash Bros. Melee,GC,2001,Fighting,92.0,9.1,T
Need for Speed Underground 2,PS2,2004,Racing,82.0,8.6,E
Medal of Honor: Frontline,PS2,2002,Shooter,88.0,8.5,T
Gears of War 2,X360,2008,Shooter,93.0,7.7,M
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,94.0,8.4,M
Uncharted 2: Among Thieves,PS3,2009,Action,96.0,8.8,T
Big Brain Academy,DS,2005,Misc,74.0,7.4,E
Red Dead Redemption,PS3,2010,Action,95.0,8.8,M
Donkey Kong Country Returns,Wii,2010,Platform,87.0,8.6,E
Halo: Combat Evolved,XB,2001,Shooter,97.0,8.6,M
Pokémon Emerald Version,GBA,2004,Role-Playing,76.0,9,E
Kingdom Hearts,PS2,2002,Role-Playing,85.0,8.8,E
Halo 3: ODST,X360,2009,Shooter,83.0,7.1,M
Red Dead Redemption,X360,2010,Action,95.0,9,M
Super Mario Sunshine,GC,2002,Platform,92.0,8.6,E
World of Warcraft,PC,2004,Role-Playing,93.0,7.3,T
Driver,PS,1999,Action,87.0,8.1,T
Kinect Sports,X360,2010,Sports,73.0,7.4,E10+
Gears of War,X360,2006,Shooter,94.0,8.3,M
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,96.0,8.7,M
Metal Gear Solid,PS,1998,Action,94.0,9.4,M
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,94.0,8.7,M
Final Fantasy XII,PS2,2006,Role-Playing,92.0,7.6,T
LittleBigPlanet,PS3,2008,Platform,95.0,6.8,E
Resident Evil 2,PS,1998,Action,89.0,9.2,M
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,87.0,8.8,E10+
Tekken 2,PS,1996,Fighting,89.0,8.9,T
LEGO Star Wars: The Complete Saga,Wii,2007,Action,80.0,8.9,E10+
Cooking Mama,DS,2006,Simulation,67.0,7.2,E
Assassin's Creed II,PS3,2009,Action,91.0,8.6,M
Assassin's Creed,X360,2007,Adventure,81.0,7.7,M
Forza Motorsport 3,X360,2009,Racing,92.0,8,E
Super Mario Advance,GBA,2001,Platform,84.0,7.8,E
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,81.0,8.7,T
Mario Kart: Super Circuit,GBA,2001,Racing,93.0,8.3,E
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,66.0,7.1,E
Call of Duty: World at War,PS3,2008,Shooter,85.0,7.6,M
Final Fantasy XIII,PS3,2009,Role-Playing,83.0,7.3,T
Final Fantasy IX,PS,2000,Role-Playing,94.0,8.9,T
Final Fantasy X-2,PS2,2003,Role-Playing,85.0,6.6,T
Assassin's Creed II,X360,2009,Action,90.0,8.8,M
